SIRUTA;DENLOC;CODP;JUD;SIRSUP;TIP;NIV;MED;REGIUNE;FSJ;FSL;NUTS
10;JUDEȚUL ALBA;0;1;1;40;1;0;7;1;0100000000000;RO121
1017;MUNICIPIUL ALBA IULIA;0;1;10;1;2;1;7;1;0110040000000;RO121
1026;ALBA IULIA;510005;1;1017;9;3;1;7;1;0110040100007;RO121
1035;BĂRĂBANȚ;510001;1;1017;10;3;1;7;1;0110040500032;RO121
1044;MICEȘTI;510002;1;1017;10;3;1;7;1;0110040500400;RO121
1053;OARDA;510003;1;1017;10;3;1;7;1;0110040500432;RO121
1062;PÂCLIȘA;510004;1;1017;10;3;1;7;1;0110040500457;RO121
1213;MUNICIPIUL AIUD;0;1;10;4;2;1;7;1;0120039000000;RO121
1222;AIUD;515200;1;1213;9;3;1;7;1;0120039100005;RO121
1231;AIUDUL DE SUS;515201;1;1213;10;3;1;7;1;0120039500006;RO121
1277;CIUMBRUD;515202;1;1213;11;3;1;7;1;0120039500139;RO121
1240;GÂMBAȘ;515203;1;1213;10;3;1;7;1;0120039500258;RO121
1286;GÂRBOVA DE JOS;515204;1;1213;11;3;1;7;1;0120039500260;RO121
1295;GÂRBOVA DE SUS;515205;1;1213;11;3;1;7;1;0120039500261;RO121
1302;GÂRBOVIȚA;515206;1;1213;11;3;1;7;1;0120039500262;RO121
1259;MĂGINA;515207;1;1213;10;3;1;7;1;0120039500378;RO121
1268;PĂGIDA;515208;1;1213;10;3;1;7;1;0120039500449;RO121
1311;SÂNCRAI;515209;1;1213;11;3;1;7;1;0120039500552;RO121
1320;ȚIFRA;515210;1;1213;11;3;1;7;1;0120039500636;RO121
1348;MUNICIPIUL BLAJ;0;1;10;4;2;1;7;1;0120041000000;RO121
1357;BLAJ;515400;1;1348;9;3;1;7;1;0120041100054;RO121
1366;DELENI-OBÂRȘIE;515401;1;1348;10;3;1;7;1;0120041500197;RO121
1375;FLITEȘTI;515402;1;1348;10;3;1;7;1;0120041500244;RO121
1384;IZVOARELE;515403;1;1348;10;3;1;7;1;0120041500327;RO121
1428;MĂNĂRADE;515404;1;1348;11;3;1;7;1;0120041500383;RO121
1393;PETRISAT;515405;1;1348;10;3;1;7;1;0120041500469;RO121
1437;SPĂTAC;515406;1;1348;11;3;1;7;1;0120041500573;RO121
1400;TIUR;515407;1;1348;10;3;1;7;1;0120041500617;RO121
1419;VEZA;515408;1;1348;10;3;1;7;1;0120041500700;RO121
1874;MUNICIPIUL SEBEȘ;0;1;10;4;2;1;7;1;0120042000000;RO121
1883;SEBEȘ;515800;1;1874;9;3;1;7;1;0120042100558;RO121
1892;LANCRĂM;515801;1;1874;10;3;1;7;1;0120042500337;RO121
1909;PETREȘTI;515850;1;1874;10;3;1;7;1;0120042500468;RO121
1918;RĂHĂU;515802;1;1874;11;3;1;7;1;0120042500521;RO121
1151;ORAȘ ABRUD;0;1;10;2;2;1;7;1;0130046000000;RO121
1160;ABRUD;515100;1;1151;17;3;1;7;1;0130046200001;RO121
1179;ABRUD-SAT;515101;1;1151;18;3;1;7;1;0130046600002;RO121
1188;GURA CORNEI;515102;1;1151;18;3;1;7;1;0130046600285;RO121
1197;SOHARU;515103;1;1151;18;3;1;7;1;0130046600569;RO121
2915;ORAȘ BAIA DE ARIEȘ;0;1;10;2;2;1;7;1;0130047000000;RO121
2924;BAIA DE ARIEȘ;515300;1;2915;17;3;1;7;1;0130047200022;RO121
2933;BRĂZEȘTI;515301;1;2915;19;3;1;7;1;0130047600079;RO121
2942;CIOARA DE SUS;515302;1;2915;19;3;1;7;1;0130047600128;RO121
2951;MUNCELU;515303;1;2915;19;3;1;7;1;0130047600414;RO121
2960;SARTĂȘ;515304;1;2915;19;3;1;7;1;0130047600542;RO121
2979;SIMULEȘTI;515305;1;2915;19;3;1;7;1;0130047600567;RO121
1455;ORAȘ CÂMPENI;0;1;10;2;2;1;7;1;0130048000000;RO121
1464;CÂMPENI;515500;1;1455;17;3;1;7;1;0130048200109;RO121
1473;BONCEȘTI;515501;1;1455;18;3;1;7;1;0130048600068;RO121
1482;BORLEȘTI;515502;1;1455;18;3;1;7;1;0130048600070;RO121
